N,Identifier,Otype,ICRS (J2000)RA,ICRS (J2000)DEC,Mag U,Mag B,Mag V,Mag R,Mag I,Sp type,#ref 1850 - 2022,#notes
450,SN 2003fk,SN*,14 19 55.800,+53 05 50.64,,,,,18.9,SNIa,15,1
451,SNLS 05D3kp,SN*,14 20 02.944,+52 16 14.98,,,,,21.6,SNIa,9,0
452,SNLS 04D3gx,SN*,14 20 13.668,+52 16 58.00,,,,,,SNIa,14,1
453,SNLS 06D3fp,SN*,14 20 18.605,+52 53 49.79,,,,,20.1,SNIa,9,0
454,SNLS 05D3dh,SN*,14 20 50.403,+52 39 45.79,,,,,,SNIa,5,0
455,SNLS 05D3ha,SN*,14 20 50.432,+52 50 02.53,,,,,20.81,SNIa,8,0
456,SNLS 03D3aw,SN*,14 20 53.532,+52 36 20.25,,,,,19.38,SNIa,14,1
457,SNLS 05D3gv,SN*,14 20 59.255,+53 10 43.96,,,,,21.44,SNIa,8,0
458,SNLS 05D3ne,SN*,14 21 02.987,+52 29 43.58,,,,,16.2,SNIa,9,0
459,SNLS 05D3cx,SN*,14 21 06.542,+52 45 01.83,,,,,21.86,SNIa,9,0
460,SNLS 04D3lu,SN*,14 21 07.970,+52 58 29.25,,,,,21.26,SNIa,14,1
461,SNLS 06D3en,SN*,14 21 13.336,+52 27 21.88,,,,,26.44,SNIa,6,0
462,SNLS 05D3hs,SN*,14 21 13.5610,+52 54 13.710,,,,,22.39,SNIa,8,0
463,SNLS 05D3la,SN*,14 21 25.418,+52 21 28.70,,,,,23.2,SNIa,6,0
464,SNLS 05D3jq,SN*,14 21 45.441,+53 01 47.71,,,,,20.3,SNIa,10,1
465,SNLS 05D3ci,SN*,14 21 48.106,+52 26 43.01,,,,,21.33,SNIa,9,1
466,SNLS 05D3kx,SN*,14 21 50.019,+53 08 13.63,,,,,17.78,SNIa,9,1
467,SNLS 06D3et,SN*,14 22 04.770,+52 20 18.12,,,,,20.6,SNIa,8,0
468,SNLS 04D3hn,SN*,14 22 06.895,+52 13 42.91,,,,,20.09,SNIa,16,2
469,SNLS 05D3mx,SN*,14 22 09.101,+52 13 09.05,,,,,19.89,SNIa,9,1
470,SNLS 05D3jb,SN*,14 22 09.997,+52 52 41.27,,,,,21.91,SNIa,8,0
471,SNLS 05D3lr,SN*,14 22 12.142,+53 11 03.39,,,,,20.39,SNIa,7,0
472,SNLS 06D3df,SN*,14 22 17.209,+52 57 27.65,,,,,20.14,SNIa,7,0
473,SNLS 05D3lc,SN*,14 22 22.920,+52 28 43.92,,,,,19.79,SNIa,9,0
474,SNLS 04D3nh,SN*,14 22 26.708,+52 20 00.41,,,,,22.17,SNIa,18,2
475,SNLS 05D3dd,SN*,14 22 30.448,+52 36 24.46,,,,,19.0,SNIa,9,1
476,SNLS 04D3gt,SN*,14 22 32.591,+52 38 48.92,,,,,,SNIa,13,2
477,SNLS 04D3ks,SN*,14 22 33.547,+52 11 06.66,,,,,24.74,SNIa,13,1
478,SNLS 05D3km,SN*,14 22 38.275,+53 04 01.20,,,,,19.06,SNIa,7,0
479,SNLS 04D3nr,SN*,14 22 38.508,+52 38 55.27,,,,,,SNIa,11,1
480,SNLS 05D3gp,SN*,14 22 42.316,+52 43 28.88,,,,,23.34,SNIa,9,1
481,TYC 4413-304-1,PM*,14 51 57.9795358920,+71 43 17.392919520,12.751,12.84,12.16,12.05,11.313,G0,36,0
482,SN 2005ag,SN*,14 56 43.2,+09 19 36,,,,,,SNIa,43,1
483,SN 2000cf,SN*,15 52 56.19,+65 56 12.7,,17.15,,,,SNIa,47,1
484,SN 2006bt,SN*,15 56 33.81,+20 03 07.2,,,17.5,,,SNIap,92,1
485,GSPC P177-D,*,15 59 13.5786527568,+47 36 41.906773080,,14.17,13.52,13.42,,G0,41,0
486,SN 1999cc,SN*,16 02 42.03,+37 21 34.4,,16.78,,,,SNIa,72,1
487,SN 1999ac,SN*,16 07 15.01,+07 58 20.4,,14.34,,,,SNIap,131,1
488,SN 2002de,SN*,16 16 30.38,+35 42 30.2,,,16.0,,,SNIa,44,1
489,UCAC3 292-117285,*,16 19 46.1029541808,+55 34 17.861479500,,17.09,16.23,16.41,,G0-5,12,1
490,GSC 02581-02323,*,16 31 33.8123836584,+30 08 46.397382324,13.576,12.972,12.917,12.564,12.212,G2V,74,0
491,SN 2001az,SN*,16 34 27.71,+76 01 46.8,,,17.1,,,SNIa,29,1
492,SN 2007ae,SN*,17 01 51.95,+79 01 54.6,,,17.5,,,SNIa,21,1
493,SN 2006mp,SN*,17 12 00.20,+46 33 20.8,,,16.9,,,SNIa:,25,1
494,SN 1990O,SN*,17 15 35.92,+16 19 25.8,,16.59,16.22,,,SNIa,75,1
495,SN 2003U,SN*,17 22 45.66,+62 09 50.4,,,18.0,,,SNIa,41,1
496,SN 2003fa,SN*,17 44 07.72,+40 52 51.6,,,18.6,,,SNIa,40,2
497,SN 2000cn,SN*,17 57 40.42,+27 49 58.1,,16.82,,,,SNIa,68,1
498,SN 2001bf,SN*,18 01 33.99,+26 15 02.3,,,16.5,,,SNIa,38,1
499,SN 1998dx,SN*,18 11 11.89,+49 51 40.7,,17.71,,,,SNIa,42,1
500,SN 1998V,SN*,18 22 37.40,+15 42 08.4,,15.07,,,,SNIa,64,1
501,SN 2007co,SN*,18 23 03.60,+29 53 49.6,17.1,17.1,17.0,,,SNIa,56,1
502,SN 2006bq,SN*,18 39 58.68,+39 58 50.8,,,15.8,,,SNIa,38,1
503,SN 2001cn,SN*,18 46 17.84,-65 45 41.8,,15.4,,,,SNIa,35,1
504,SN 2001bt,SN*,19 13 46.75,-59 17 22.8,,15.51,,,,SNIa,40,1
505,SN 2006kb,SN*,20 19 10.21,-01 03 52.2,,,,,,SNIa,13,1
506,SN 2006ew,SN*,20 20 02.17,-00 58 32.5,,,,,,SNIa,8,1
507,SN 2007ls,SN*,20 28 28.07,+00 00 22.4,,,,,,SNIa,6,1
508,SN 2005iv,SN*,20 31 44.68,+00 14 41.1,,,,,,SNIa,13,1
509,SN 2006ji,SN*,20 32 46.79,+00 55 37.5,,,,,,SNIa,9,1
510,SN 2004eo,SN*,20 32 54.19,+09 55 42.7,,15.07,17.8,,,SNIa,187,1
511,SN 2007js,SN*,20 36 48.6,+00 05 54,,,,,,SNIa,15,1
512,SN 2006fd,SN*,20 37 53.25,+01 13 16.1,,,,,,SNIa,15,1
513,SN 2006ex,SN*,20 38 43.920,-00 28 34.98,,,,,,SNIa,21,1
514,SN 2005jw,SN*,20 40 19.25,-00 00 25.9,,,,,,SNIa,17,1
515,SN 2005ix,SN*,20 41 55.88,+01 05 31.3,,,,,,SNIa,19,1
516,SN 1992al,SN*,20 45 56.49,-51 23 39.9,,14.59,14.54,,,SNIa,82,2
517,SN 2002ha,SN*,20 47 18.58,+00 18 45.6,,,17.3,,,SNIa,67,1
518,SN 2005fm,SN*,20 48 10.320,-01 10 16.93,,20.5,,,,SNIa,20,1
519,SN 2005fn,SN*,20 48 53.05,+00 11 28.0,,18.9,,,,SNIa,19,1
520,SN 2007ks,SN*,20 49 33.120,-00 45 42.94,,,,,,SNIa,16,1
521,SN 2007qj,SN*,20 49 40.080,+00 28 06.65,,,,,,SNIa,7,1
522,SN 2005ht,SN*,20 50 24.60,-00 10 04.4,,21.5,,,,SNIa,17,1
523,SN 2006fr,SN*,20 50 30.21,+00 23 55.3,,,,,,SNIa:,8,1
524,SN 2006qc,SN*,20 51 19.84,-00 57 08.4,,,,,,SNIa,11,1
525,SN 2006ni,SN*,20 54 52.5,-00 11 44,,,,,,SNIa,23,1
526,SN 2006js,SN*,20 55 20.06,-00 05 34.0,,,,,,SNIa,13,1
527,SN 2006jj,SN*,20 59 34.81,+01 13 23.7,,,,,,SNIa,7,1
528,SN 2007qz,SN*,21 00 02.77,+00 49 39.3,,,,,,SNIa,7,1
529,SDSS-II SN 13411,SN*,21 00 45.600,+00 11 30.17,,,,,,SNIa,6,0
530,SN 2007pa,SN*,21 01 34.560,-00 16 07.56,,,,,,SNIa,8,1
531,SN 2007hz,SN*,21 03 08.95,-01 01 45.1,,,,,,SNIa,22,1
532,SN 2005fz,SN*,21 03 41.22,+00 34 10.3,,20.8,,,,SNIa,19,2
533,SN 2007ko,SN*,21 04 22.37,-00 53 52.8,,,,,,SNIa,11,1
534,SN 2006ki,SN*,21 06 34.18,-00 38 52.6,,,,,,SNIa,11,1
535,SN 2006ey,SN*,21 07 03.5,+00 43 24,,,,,,SNIa,15,1
536,SN 2006hj,SN*,21 10 20.88,+00 55 56.4,,,,,,SNIa,14,1
537,SN 2006mz,SN*,21 10 34.80,-00 07 21.9,,,,,,SNIa,15,1
538,SN 2005fj,SN*,21 11 20.85,-00 26 43.3,,20.2,,,,SNIa,19,1
539,SN 2006ht,SN*,21 12 48.1893001776,+00 55 04.191130704,,,,,,SNIa,13,1
540,SN 2006kq,SN*,21 15 36.49,-00 19 18.2,,,,,,SNIa,23,1
541,SN 2007pc,SN*,21 15 49.47,+00 39 05.0,,,,,,SNIa,13,1
542,SN 2006ky,SN*,21 18 40.320,-01 01 27.26,,,,,,SNIa,14,1
543,SDSS-II SN 15467,SN*,21 20 04.800,-00 10 38.48,,,,,,SNIa,11,0
544,SN 2006oa,SN*,21 23 42.960,-00 50 35.02,,,,,,SNIa,33,1
545,SN 1992ae,SN*,21 28 17.94,-61 33 01.4,,18.64,18.45,,,SNIa,64,2
546,SN 2007jl,SN*,21 29 17.04,-01 00 10.1,,,,,,SNIa,15,1
547,SN 2007ql,SN*,21 29 43.66,+00 26 40.6,,,,,,SNIa,8,1
548,SN 2006ev,SN*,21 30 59.26,+13 59 21.2,,,,,,SNIa,29,1
549,SN 2005ik,SN*,21 31 15.60,-01 03 25.2,,22.2,,,,SNIa,20,1
550,SN 2005jl,SN*,21 32 56.160,-00 42 00.21,,,,,,SNIa,28,1
551,SN 2007ih,SN*,21 33 10.800,-00 57 36.30,,,,,,SNIa,18,1
552,SN 2007ow,SN*,21 34 01.92,-00 44 26.3,,,,,,SNIa?,8,1
553,SN 2006lo,SN*,21 34 19.20,+00 35 19.6,,,,,,SNIa,16,1
554,SN 2006ph,SN*,21 34 33.36,-00 53 05.9,,,,,,SNIa,12,1
555,SN 2006fc,SN*,21 34 46.800,+01 10 31.51,,,,,,SNIa,21,1
