N,Identifier,Otype,ICRS (J2000)RA,ICRS (J2000)DEC,Mag U,Mag B,Mag V,Mag R,Mag I,Sp type,#ref 1850 - 2022,#notes
1,SN 2006nf,SN*,00 01 30.18,+00 16 31.7,,,,,,SNIa,10,1
2,SN 2005ed,SN*,00 02 49.36,+00 45 04.8,,,,,,SNIa,19,1
3,SN 2006sr,SN*,00 03 35.02,+23 11 46.2,,,17.4,,,SNIa,44,1
4,SN 2007ic,SN*,00 05 57.98,+01 06 11.1,,,,,,SNIa,7,1
5,SN 2006jh,SN*,00 06 45.742,-00 02 12.29,,,,,,SNIa,16,1
6,SN 2005ih,SN*,00 07 13.58,+00 20 56.3,,22.6,,,,SNIa,16,1
7,SN 2005fi,SN*,00 07 58.69,+00 38 17.4,,22.4,,,,SNIa,16,1
8,SN 2006lj,SN*,00 10 43.5,+00 12 06,,,,,,SNIa,16,1
9,SN 2006jz,SN*,00 11 24.50,+00 42 07.1,,,,,,SNIa,22,1
10,SN 2007ju,SN*,00 11 50.465,-00 20 21.67,,,,,,SNIa,20,1
11,SN 2007jq,SN*,00 11 58.61,+00 59 53.4,,,,,,SNIa,8,1
12,SN 2007mu,SN*,00 12 18.56,-00 04 38.3,,,,,,SNIa,10,1
13,SN 2006nv,SN*,00 12 29.86,-00 58 38.2,,,,,,SNIa,10,1
14,SN 2005hx,SN*,00 13 00.13,+00 14 53.7,,20.6,,,,SNIa,27,1
15,SN 2005ii,SN*,00 13 03.73,-00 37 12.4,,22.3,,,,SNIa,19,1
16,SN 2005mm,SN*,00 13 09.55,+01 08 43.9,,22.2,,,,SNIa,13,1
17,SN 2007kx,SN*,00 13 42.874,+00 39 08.38,,,,,,SNIa,14,1
18,SN 2005hy,SN*,00 14 23.602,+00 19 59.09,,21.7,,,,SNIa,24,1
19,SDSS-II SN 13689,SN*,00 16 03.66,+00 48 30.1,,,,,,~,6,0
20,SN 2006fz,SN*,00 16 41.35,-00 25 28.3,,,,,,SNIa,20,1
21,SN 2005ji,SN*,00 17 18.34,-00 15 26.1,,,,,,SNIa,18,1
22,SN 2005jn,SN*,00 19 00.84,-00 16 53.3,,,,,,SNIa,17,1
23,SN 2006kr,SN*,00 19 19.68,+01 05 26.6,,,,,,SNIa,11,1
24,SN 2007kq,SN*,00 19 43.970,-00 24 00.35,,,,,,SNIa,15,1
25,SN 2007oi,SN*,00 21 17.87,+01 04 28.3,,,,,,SNIa?,7,1
26,SN 2006er,SN*,00 21 37.8,-01 00 38,,,,,,SNIa,24,1
27,SN 2007px,SN*,00 22 43.96,-00 28 46.0,,,,,,SNIa,16,1
28,SN 2006pe,SN*,00 23 09.1,-00 03 12,,,,,,SNIa,16,1
29,SN 2006hp,SN*,00 24 14.25,-00 14 57.3,,,,,,SNIa,16,1
30,SN 2006go,SN*,00 24 33.76,-00 16 44.7,,,,,,SNIa,9,1
31,SN 2007kr,SN*,00 25 27.59,-00 50 21.6,,,,,,SNIa/c?,11,1
32,SN 2007jb,SN*,00 26 33.79,+00 02 31.1,,,,,,SNIa,8,1
33,SN 2006ff,SN*,00 26 35.64,-00 18 07.5,,,,,,SNIa,14,1
34,SN 2005ln,SN*,00 27 00.12,-00 35 11.8,,20.4,,,,SNIa,15,1
35,SN 2006lp,SN*,00 27 05.68,-00 07 33.5,,,,,,SNIa,16,1
36,SN 2005fp,SN*,00 27 13.69,+01 07 14.2,,22.1,,,,SNIa,22,1
37,SN 2006kk,SN*,00 27 39.86,+00 38 58.2,,,,,,SNIa,7,1
38,SN 2006gg,SN*,00 28 12.514,+00 07 04.77,,,,,,SNIa,15,1
39,SN 2007sh,SN*,00 29 24.67,+00 49 53.4,,,,,,SNIa,6,1
40,SN 2006jn,SN*,00 30 39.0,+00 08 31,,,,,,SNIa,17,1
41,SN 2005kp,SN*,00 30 53.153,-00 43 07.77,,21.8,,,,SNIa,28,1
42,SN 2006kl,SN*,00 31 33.38,-00 08 07.9,,,,,,SNIa,15,1
43,SN 2006ft,SN*,00 31 50.06,-00 22 58.7,,,,,,SNIa,10,1
44,SN 2007ml,SN*,00 31 53.46,+00 08 17.9,,,,,,SNIa,10,1
45,SN 2006of,SN*,00 32 25.838,-01 03 14.04,,,,,,SNIa,18,1
46,SN 2007ht,SN*,00 34 33.81,-01 13 03.1,,,,19.2,,SNIa,10,1
47,SN 2007ot,SN*,00 35 36.775,-00 13 57.36,,,,,,SNIa,10,1
48,SN 2007mv,SN*,00 35 37.668,+00 22 10.29,,,,,,SNIa,13,1
49,SN 2006oi,SN*,00 35 53.05,+00 15 30.3,,,,,,SNIa,7,1
50,SN 1996bl,SN*,00 36 17.97,+11 23 40.5,,17.05,16.63,,,SNIa,59,1
51,SN 2007ji,SN*,00 38 48.3,-00 10 45,,,,,,SNIa,11,1
52,SN 2006ej,SN*,00 38 59.77,-09 00 56.6,,16.0,16.4,,,SNIa,65,1
53,SN 2007qh,SN*,00 39 30.86,+01 01 27.6,,,,,,SNIa,11,1
54,SN 2007nd,SN*,00 40 18.81,-01 02 14.5,,,,,,SNIa,6,1
55,SN 2006gu,SN*,00 40 38.98,-00 04 25.0,,,,,,SNIa,12,1
56,SN 2007sb,SN*,00 41 23.69,+00 24 42.4,,,,,,SNIa,13,1
57,SN 2006et,SN*,00 42 45.82,-23 33 30.4,,,16.1,,,SNIa,62,1
58,SN 2007qp,SN*,00 42 48.43,+00 22 47.1,,,,,,SNIa,7,1
59,SN 2007ma,SN*,00 44 53.8,-00 59 48,,,,,,SNIa,18,1
60,SN 2005jc,SN*,00 45 24.41,+01 04 32.1,,,,,,SNIa,19,1
61,SN 2007lg,SN*,00 46 03.9,-00 00 38,,,,,,SNIa,16,1
62,SN 2007rs,SN*,00 46 27.40,-01 03 44.1,,,,,,SNIa,9,1
63,SN 2005hz,SN*,00 46 32.2,+00 50 17,,,,,,SNIa,25,1
64,SN 2006mo,SN*,00 46 38.55,+36 19 57.8,,,18.2,,,SNIa,31,1
65,SN 2006pb,SN*,00 46 43.5,-01 01 57,,,,,,SNIa,19,1
66,SN 2005gu,SN*,00 48 57.05,-00 54 20.8,,22.0,,,,SNIa,16,1
67,SN 2007lc,SN*,00 49 09.1,+00 35 47,,,,,,SNIa,19,1
68,SN 2007mb,SN*,00 50 11.1,+00 40 32,,,,,,SNIa,15,1
69,SN 2007ix,SN*,00 51 30.88,-00 56 50.6,,,,,,SNIa,11,1
70,SDSS-II SN 20088,SN*,00 52 49.2,+00 37 53,,,,,,SNIa,8,0
71,SN 2007ne,SN*,00 54 02.2,+01 04 08,,,,,,SNIa,14,1
72,SN 2006gh,SN*,00 54 46.94,-00 15 03.7,,,,,,SNIa,13,1
73,SN 2006nc,SN*,00 55 22.512,-00 23 21.16,,,,,,SNIa,24,1
74,SN 2006nz,SN*,00 56 29.21,-01 13 36.1,,,,,,SNIa,26,1
75,SN 2005ho,SN*,00 59 24.1,+00 00 09,,,,,,SNIa,30,1
76,SN 2006mt,SN*,00 59 31.06,-00 15 24.2,,,,,,SNIa,14,1
77,SN 2005eg,SN*,01 02 08.49,-00 52 44.5,,,,,,SNIa,26,1
78,SN 2006jy,SN*,01 02 56.35,+00 10 58.9,,,,,,SNIa,16,1
79,SN 2007nf,SN*,01 03 26.6,+00 19 53,,,,,,SNIa,16,1
80,SN 1998ef,SN*,01 03 26.87,+32 14 12.4,,15.21,,,,SNIa,63,1
81,SN 2007ri,SN*,01 06 52.28,+01 09 14.2,,,,,,SNIa,7,1
82,SN 2000dk,SN*,01 07 23.52,+32 24 23.2,,15.63,15.2,,,SNIa,93,1
83,SN 2007mc,SN*,01 07 25.6,+01 02 37,,,,,,SNIa,12,1
84,SN 2006ok,SN*,01 07 28.3,-00 16 09,,,,,,SNIa,16,1
85,SN 2005ga,SN*,01 07 43.76,-01 02 22.2,,21.3,,,,SNIa,25,1
86,SN 2006kd,SN*,01 07 49.944,+00 49 42.89,,,,,,SNIa,22,1
87,SN 2005fr,SN*,01 08 22.02,-00 05 46.7,,21.6,,,,SNIa,20,1
88,SN 2006oj,SN*,01 08 49.20,-00 59 22.1,,,,,,SNIa,11,1
89,SN 2007lh,SN*,01 08 52.02,+01 11 52.4,,,,,,SNIa,11,1
90,SN 2006hc,SN*,01 09 34.73,+00 42 14.9,,,,,,SNIa,13,1
91,SN 2007kv,SN*,01 10 15.94,+00 28 19.2,,,,,,SNIa,11,1
92,SN 2005go,SN*,01 10 49.18,+01 00 28.4,,22.3,,,,SNIa,16,1
93,SN 2005kt,SN*,01 10 58.00,+00 16 34.0,,,,,,SNIa,25,1
94,SN 2006md,SN*,01 11 31.49,+00 24 34.3,,,,22.2,,SNIa,13,1
95,SN 2005ia,SN*,01 11 35.02,-00 00 21.0,,21.7,,,,SNIa,18,1
96,SN 2007li,SN*,01 13 04.0,-00 32 24,,,,,,SNIa,12,1
97,SN 2006hx,SN*,01 13 57.31,+00 22 18.0,,,,,,SNIa,39,1
98,SN 2005gb,SN*,01 16 12.600,+00 47 30.90,,19.4,,,,SNIa,36,1
99,SN 2005ir,SN*,01 16 43.752,+00 47 40.36,,,,,,SNIa,58,1
100,SN 2002jy,SN*,01 21 16.27,+40 29 55.3,,,16.3,,,SNIa,34,1
101,SN 2007ka,SN*,01 21 22.70,-00 00 53.3,,,,,,SNIa,14,1
102,SN 2005gc,SN*,01 21 37.584,-00 58 38.01,,21.2,,,,SNIa,25,1
103,SN 1992bo,SN*,01 21 58.44,-34 12 43.5,,15.85,15.76,,,SNIa,113,1
104,SN 2006om,SN*,01 22 18.840,+01 00 37.26,,,,,,SNIa,12,1
105,SN 2007jz,SN*,01 23 56.01,+01 15 18.0,,,,,,SNIa,15,1
106,SN 2006pq,SN*,01 25 06.888,-01 13 09.80,,,,,,SNIa,13,1
107,SN 2001en,SN*,01 25 22.90,+34 01 30.5,,,17.5,,,SNIa,53,1
108,SN 2005gy,SN*,01 26 06.79,+00 40 36.8,,22.9,,,,SNIa,18,1
109,SN 2005hj,SN*,01 26 48.40,-01 14 17.2,,,,17.4,,SNIa,85,1
110,SN 1999dk,SN*,01 31 26.92,+14 17 05.7,,15.06,,,,SNIa,70,1
111,SN 2005jz,SN*,01 31 27.07,-00 37 54.0,,,,,,SNIa,17,1
112,SN 2007qg,SN*,01 32 01.97,-00 25 47.0,,,,,,SNIa,9,1
113,SN 2007ku,SN*,01 33 28.30,+00 31 28.6,,,,,,SNIa,10,1
114,SN 2006pr,SN*,01 34 14.784,-00 24 13.23,,,,,,SNIa,11,1
115,SN 2007ol,SN*,01 37 23.7,-00 18 42,,,,,,SNIa,27,1
116,SN 2001eh,SN*,01 38 12.10,+41 39 18.8,,,16.5,,,SNIa,49,1
117,SN 2005fa,SN*,01 39 36.0,-00 45 28,,,,,,SNIa,23,1
118,SN 2006hg,SN*,01 40 58.49,-00 43 42.4,,,,,,SNIa,14,1
119,SN 2007me,SN*,01 41 03.840,-00 26 53.78,,,,,,SNIa/c,14,1
120,SN 2005ex,SN*,01 41 51.2,-00 52 36,,,,,,SNIa,19,1
121,SN 2007or,SN*,01 42 38.3,+01 01 49,,,,,,SNIa,13,1
122,SN 2007qo,SN*,01 43 01.58,-00 56 42.7,,,,,,SNIa,14,1
123,SN 2006ps,SN*,01 43 45.312,-01 06 42.62,,,,,,SNIa,12,1
124,SN 2007ro,SN*,01 44 28.9,+00 13 47,,,,,,SNIa,12,1
125,SN 2007jj,SN*,01 45 26.73,-00 01 09.9,,,,,,SNIa,8,1
126,SN 2006nn,SN*,01 45 41.112,-01 03 16.45,,,,,,SNIa,17,1
127,SN 2005jk,SN*,01 45 59.736,+01 11 44.63,,,,,,SNIa,25,1
128,SN 2006fw,SN*,01 47 10.3,-00 08 48,,,,,,SNIa,31,1
129,SN 2005gd,SN*,01 47 51.048,+00 38 25.80,,,,,,SNIa,20,1
130,SN 2006ls,SN*,01 48 40.680,-00 34 32.70,,,,,,SNIpec,19,1
131,SN 2006fh,SN*,01 49 34.91,-00 38 59.6,,,,,,SNIa,8,1
132,SN 2006hr,SN*,01 50 15.528,-00 53 12.09,,,,,,SNIa:,21,1
133,SN 2007kt,SN*,01 50 23.83,+01 10 20.5,,,,,,SNIa,14,1
134,SN 2006ob,SN*,01 51 48.5,+00 15 49,,,,,,SNIa,54,1
135,SN 2007qa,SN*,01 52 34.1,+01 14 38,,,,,,SNIa,14,1
136,SN 2007qy,SN*,01 55 15.28,+00 38 35.2,,,,,,SNIa,7,1
137,SN 2005hc,SN*,01 56 47.976,-00 12 48.62,,,,,,SNIa,82,1
138,SN 2006td,SN*,01 58 15.76,+36 20 57.7,,,15.1,,,SNIa,27,1
139,SN 2007mf,SN*,01 58 54.8,-01 01 37,,,,,,SNIa,12,1
140,SN 2007si,SN*,01 59 51.2,+01 12 59,,,,,,SNIa,10,1
141,SN 2006nl,SN*,02 01 44.71,-01 01 56.7,,,,,,SNIa,13,1
142,SN 2007jw,SN*,02 02 32.74,-01 05 21.0,,,,,,SNIa,20,1
143,SN 2006nw,SN*,02 02 55.95,-00 32 01.9,,,,,,SNIa,10,1
144,SN 2005gt,SN*,02 04 03.84,-00 21 56.9,,22.0,,,,SNIc,17,2
145,SN 2005fs,SN*,02 04 52.98,-00 19 35.2,,22.1,,,,SNIa,15,1
146,SN 2007mn,SN*,02 05 03.96,+00 10 28.4,,,,,,SNIa,18,1
147,SN 2007ni,SN*,02 05 50.496,-00 19 57.27,,,,,,SNIa,15,1
148,SN 2007hx,SN*,02 06 27.288,-00 53 57.57,,,,,,SNIa,33,1
149,SN 2006ia,SN*,02 07 19.1,+01 15 07,,,,,,SNIa,20,1
150,SN 2007pt,SN*,02 07 38.372,-00 19 26.27,,,,,,SNIa,19,1
151,SN 2006od,SN*,02 07 54.31,-00 32 07.2,,,,,,SNIa,15,1
152,SN 2005jp,SN*,02 09 50.3,-00 03 42,,,,,,SNIa,24,1
153,SN 2005lz,SN*,02 10 49.76,+34 58 58.2,,,17.8,,,SNIa,30,1
154,SN 2006na,SN*,02 11 19.27,-00 59 53.2,,,,,,SNIa,12,1
155,SN 2007je,SN*,02 11 47.31,-00 54 44.8,,,,,,SNIa,10,1
156,SN 2005ml,SN*,02 14 04.41,-00 14 21.0,,20.5,,,,SNIa,15,1
157,SN 2006kw,SN*,02 14 57.912,+00 36 09.80,,,,,,SNIa,21,1
158,SN 2006lq,SN*,02 16 35.93,-00 09 19.0,,,,,,SNIa,11,1
159,SN 2005ey,SN*,02 17 05.616,+00 16 50.88,,20.9,,,,SNIa,17,1
160,SN 2005jd,SN*,02 17 06.21,+00 32 05.3,,,,,,SNIa,16,1
161,SN 2002hu,SN*,02 18 20.06,+37 27 58.8,,16.83,,,,SNIa,44,1
162,SN 2006ka,SN*,02 18 26.597,+00 13 33.72,,,,,,SNIa,14,1
163,SN 2005ie,SN*,02 19 02.53,-00 16 22.0,,22.1,,,,SNIa,21,1
164,SN 2007ps,SN*,02 19 13.44,-00 23 04.4,,,,,,SNIa,11,1
165,SN 2006km,SN*,02 20 37.93,+00 20 54.2,,,,,,SNIa,9,1
166,SN 2007pe,SN*,02 21 03.96,+00 29 47.5,,,,,,SNIa,9,1
167,SN 2007jr,SN*,02 22 57.28,+01 01 32.7,,,,,,SNIa,9,1
168,SN 2006jw,SN*,02 23 22.22,+00 49 08.5,,,,,,SNIa:,19,1
169,SNLS 05D1em,SN*,02 24 05.522,-04 56 23.66,,,,,21.22,SNIa,7,0
170,SNLS 04D1hy,SN*,02 24 08.694,-04 49 51.86,,,,,25.44,SNIa,10,1
171,SNLS 04D1ks,SN*,02 24 09.516,-04 58 43.40,,,,,26.3,SNIa,9,0
172,SNLS 03D1au,SN*,02 24 10.370,-04 02 14.89,,,,,21.87,SNIa,17,2
173,SNLS 03D1ew,SN*,02 24 14.111,-04 39 57.07,,,,,26.37,SNIa,18,1
174,SNLS 03D1aw,SN*,02 24 14.792,-04 31 01.77,,,,,22.53,SNIa,16,2
175,SNLS 05D1ix,SN*,02 24 19.967,-04 40 12.01,,,,,26.35,SNIa,10,0
176,SNLS 04D1sk,SN*,02 24 22.778,-04 21 13.03,,,,,21.61,SNIa,12,0
177,SNLS 03D1ax,SN*,02 24 23.349,-04 43 14.79,,,,,18.49,SNIa,20,2
178,SNLS 05D1ck,SN*,02 24 24.850,-04 42 46.08,,,,,21.25,SNIa,9,0
179,SNLS 05D1dn,SN*,02 24 26.650,-04 59 29.61,,,,,20.62,SNIa,9,0
180,SNLS 05D1if,SN*,02 24 29.729,-04 34 13.22,,,,,,SNIa,7,0
181,SNLS 05D1kl,SN*,02 24 33.539,-04 19 08.26,,,,,23.98,SNIa,8,0
182,SNLS 05D1hk,SN*,02 24 39.176,-04 38 03.31,,,,,21.49,SNIa,11,0
183,SNLS 04D1hx,SN*,02 24 42.495,-04 47 25.17,,,,,21.67,SNIa,11,1
184,SNLS 05D1ee,SN*,02 24 46.749,-04 00 01.75,,,,,20.38,SNIa,8,0
185,SNLS 04D1iv,SN*,02 24 48.051,-04 09 09.21,,,,,23.77,SNIa,9,0
186,SNLS 04D1si,SN*,02 24 48.796,-04 34 08.22,,,,,21.09,SNIa,9,0
187,SNLS 04D1oh,SN*,02 25 02.362,-04 14 10.27,,,,,22.74,SNIa,11,1
188,SNLS 05D1cl,SN*,02 25 05.655,-04 13 14.95,,,,,24.99,SNIa,7,0
189,SNLS 04D1rx,SN*,02 25 11.030,-04 37 06.06,,,,,22.63,SNIa,7,0
190,SNLS 04D1pp,SN*,02 25 12.478,-04 42 05.70,,,,,20.21,SNIa,10,0
191,SNLS 05D1az,SN*,02 25 12.506,-04 36 08.41,,,,,26.19,SNIa,8,0
192,SNLS 05D1eo,SN*,02 25 23.141,-04 38 33.61,,,,,20.96,SNIa,8,0
193,SNLS 04D1ff,SN*,02 25 38.622,-04 54 09.47,,,,,24.61,SNIa,8,0
194,SNLS 05D1er,SN*,02 25 41.457,-04 00 16.33,,,,,22.64,SNIa,7,0
195,SNLS 03D1fc,SN*,02 25 43.596,-04 08 38.61,,,,,19.55,SNIa,16,2
196,SNLS 04D1aj,SN*,02 25 53.960,-04 59 40.60,,,,,,SNIa,12,1
197,SNLS 04D1hd,SN*,02 26 08.834,-04 06 34.68,,,,,23.66,SNIa,14,2
198,SNLS 04D1jg,SN*,02 26 12.557,-04 08 05.28,,,,,19.18,SNIa,9,1
199,SNLS 05D1iz,SN*,02 26 12.768,-04 46 24.13,,,,,25.02,SNIa,7,0
200,SNLS 03D1co,SN*,02 26 16.259,-04 56 06.18,,,,,23.94,SNIa,19,1
201,SNLS 04D1dc,SN*,02 26 18.4,-04 18 42,,,,,,SNIa,11,1
202,SNLS 04D1pc,SN*,02 26 24.876,-04 23 57.84,,,,,22.29,SNIa,9,0
203,SNLS 05D1cc,SN*,02 26 31.168,-04 09 53.28,,,,,22.32,SNIa,8,0
204,SNLS 03D1dt,SN*,02 26 31.192,-04 03 08.43,,,,,21.91,SNIa,10,1
205,SNLS 04D1qd,SN*,02 26 33.075,-04 06 25.84,,,,,21.44,SNIa,8,0
206,SNLS 04D1de,SN*,02 26 35.909,-04 25 21.44,,,,,22.07,SNIa,10,1
207,SNLS 03D1bp,SN*,02 26 37.736,-04 50 19.61,,,,,18.72,SNIa,15,2
208,SNLS 04D1ow,SN*,02 26 42.696,-04 18 22.28,,,,,,SNIa,12,1
209,SNLS 05D1ke,SN*,02 26 46.292,-04 51 44.98,,,,,23.51,SNIa,10,0
210,SN 2006nb,SN*,02 26 53.376,-00 19 40.24,,,,,,SNIa,17,1
211,SNLS 03D1fq,SN*,02 26 55.664,-04 18 07.98,,,,,21.83,SNIa,16,1
212,SNLS 05D1cb,SN*,02 26 57.056,-04 07 03.24,,,,,20.89,SNIa,10,0
213,SNLS 04D1pg,SN*,02 27 04.159,-04 10 31.03,,,,,21.92,SNIa,13,1
214,SNLS 04D1pu,SN*,02 27 28.474,-04 44 41.76,,,,,22.09,SNIa,8,0
215,SNLS 04D1pd,SN*,02 27 39.752,-04 37 52.22,,,,,23.62,SNIa,9,0
216,SN 2005eu,SN*,02 27 43.30,+28 10 37.8,,,17.6,,,SNIa,55,2
217,SNLS 05D1hm,SN*,02 27 46.217,-04 43 02.23,,,,,21.49,SNIa,8,0
218,SNLS 05D1dx,SN*,02 27 46.990,-04 01 56.96,,,,,23.15,SNIa,8,0
219,SNLS 04D1rh,SN*,02 27 47.148,-04 15 13.56,,,,,21.29,SNIa,13,1
220,SNLS 04D1jd,SN*,02 27 50.836,-04 56 37.64,,,,,22.62,SNIa,8,0
221,SNLS 04D1kj,SN*,02 27 52.660,-04 10 48.91,,,,,20.46,SNIa,10,1
222,SNLS 04D1sa,SN*,02 27 56.159,-04 10 33.85,,,,,20.48,SNIa,10,1
223,SN 2007ok,SN*,02 28 23.9,+00 11 09,,,,,,SNIa,17,1
224,SN 2007jt,SN*,02 28 32.760,-01 02 34.12,,,,,,SNIa,23,1
225,SN 2006mv,SN*,02 30 55.464,+00 56 46.62,,,,,,SNIa,13,1
226,SN 1999gp,SN*,02 31 39.15,+39 22 52.3,,16.04,,,,SNIa,88,1
227,SN 2006pa,SN*,02 32 24.10,-00 42 50.7,,,,,,SNIa:,15,1
228,SN 2005gv,SN*,02 33 54.13,+00 16 50.6,,22.3,,,,SNIa,13,1
229,SN 1999dq,SN*,02 33 59.68,+20 58 30.4,,14.68,,,,SNIapec,105,1
230,SN 2006hs,SN*,02 36 04.9,-00 59 39,,,,,,SNIa,10,1
231,SN 2005ju,SN*,02 36 28.04,+00 30 40.6,,,,,,SNIa,20,1
232,SN 2006lr,SN*,02 38 52.94,+00 05 24.4,,,,,,SNIa,14,1
233,SN 2006nh,SN*,02 40 50.93,+00 39 35.4,,,,,,SNIa,12,1
234,SN 2007ov,SN*,02 41 08.78,+00 08 39.3,,,,,,SNIa,10,1
235,SN 2005ft,SN*,02 42 04.98,-00 32 27.0,,21.2,,,,SNIa,23,1
236,SN 2006hh,SN*,02 42 26.713,-00 47 39.28,,,,,,SNIa,21,1
237,SN 2007kl,SN*,02 44 51.2,+00 21 55,,,,,,SNIa,13,1
238,SN 1995ak,SN*,02 45 48.83,+03 13 50.1,,16.23,16.07,,,SNIa,60,1
239,SN 2006fj,SN*,02 47 08.67,+00 46 30.5,,,,,,SNIa,9,1
240,SN 2006gx,SN*,02 48 14.08,-00 20 49.3,,,,,,SNIa,15,1
241,SN 2003iv,SN*,02 50 07.25,+12 50 46.5,,,17.2,,,SNIa,32,1
242,SN 2007nh,SN*,02 50 27.89,-00 33 04.2,,,,,,SNIa,10,1
243,SN 2005fu,SN*,02 50 32.136,+00 48 26.44,,21.0,,,,SNIa,22,1
244,SN 2007nj,SN*,02 52 27.19,+00 15 06.2,,,,,,SNIa,19,1
245,SN 2006nt,SN*,02 53 58.61,+00 59 16.2,,,,,,SNIa,12,1
246,SN 2007jk,SN*,02 55 05.40,-00 08 51.7,,,,,,SNIa,22,1
247,SN 2006nk,SN*,02 56 16.61,-00 24 38.8,,,,,,SNIa,9,1
248,SN 2007jd,SN*,02 59 53.688,+01 09 36.83,,,,,,SNIa,23,1
249,SN 2005fb,SN*,03 01 17.544,-00 38 38.63,,21.2,,,,SNIa,20,1
250,SN 2005ij,SN*,03 04 21.264,-01 03 46.87,,20.6,,,,SNIa,29,1
251,SN 1992bc,SN*,03 05 16.05,-39 33 34.6,,15.15,15.17,,,SNIa,126,1
252,SN 2005fv,SN*,03 05 22.42,+00 51 30.1,,21.1,,,,SNIa,29,1
253,SN 2007mg,SN*,03 06 33.83,+00 47 35.9,,,,,,SNIa,8,1
254,SN 2007nt,SN*,03 06 43.80,-00 45 14.5,,,,,,SNIa,11,1
255,SN 2005ez,SN*,03 07 11.0,+01 07 11,,,,,,SNIa,27,1
256,SN 2005eq,SN*,03 08 49.31,-07 01 59.7,,,17.4,,,SNIa,74,1
257,SN 2007pp,SN*,03 11 01.16,+00 21 24.3,,,,,,SNIa,6,1
258,SN 2007qs,SN*,03 11 46.03,+00 05 30.9,,,,,,SNIa,6,1
259,SN 2007nu,SN*,03 11 50.18,-00 41 32.7,,,,,,SNIa,7,1
260,SN 2007lm,SN*,03 13 40.44,+00 37 47.9,,,,,,SNIa,11,1
261,SN 2007mh,SN*,03 14 32.088,+00 16 08.27,,,,,,SNIa,16,1
262,SN 2006ib,SN*,03 16 11.8,-00 36 03,,,,,,SNIa,18,1
263,SN 2005hr,SN*,03 18 33.816,+00 07 24.03,,22.7,,,,SNIa,22,1
264,SN 2006lb,SN*,03 19 28.176,-00 19 04.77,,,,,,SNIa,21,1
265,SN 2005fy,SN*,03 20 21.70,-00 53 08.1,,21.0,,,,SNIa,18,1
266,SN 2007mi,SN*,03 23 31.3,+00 40 02,,,,,,SNIa,14,1
267,SN 2006kj,SN*,03 24 32.8,+01 01 21,,,,,,SNIa?,12,1
268,SN 2005jo,SN*,03 28 21.68,-00 19 34.1,,,,,,SNIa,20,1
269,SN 2005hs,SN*,03 29 22.06,-01 05 41.0,,22.9,,,,SNIa,15,1
270,SN 1992bs,SN*,03 29 27.20,-37 16 18.9,,,18.28,,,SNIa,55,1
271,SN 2007jg,SN*,03 29 50.81,+00 03 24.6,,,,,,SNIa,42,1
272,SN 2005if,SN*,03 30 12.888,-00 58 28.17,,19.1,,,,SNIa,33,1
273,SN 2007pz,SN*,03 30 25.18,+01 00 33.9,,,,,,SNIa,6,1
274,SN 2005fw,SN*,03 30 48.960,-01 14 15.40,,20.9,,,,SNIa,24,1
275,SN 2006lk,SN*,03 32 04.60,-00 06 00.6,,,,,,SNIa,11,1
276,NAME Ombo SN,SN*,03 32 25.340,-27 45 03.01,,,,,,~,15,0
277,SN 2002fw,SN*,03 32 37.511,-27 46 46.40,,,,,,SNIa,28,1
278,SN 2006hu,SN*,03 34 22.728,-01 07 23.30,,,,,,SNIa,15,1
279,SN 2007mj,SN*,03 34 44.4,+00 21 19,,,,,,SNIa,18,1
280,SN 2007po,SN*,03 35 32.23,+00 42 12.1,,,,,,SNIa,7,1
281,SN 2005gr,SN*,03 36 37.49,+01 04 45.0,,21.3,,,,SNIa,18,1
282,SN 1992bp,SN*,03 36 37.95,-18 21 13.7,,18.53,18.37,,,SNIa,64,1
283,SN 2006jq,SN*,03 37 06.456,+00 00 33.38,,,,,,SNIa,17,1
284,SN 2007hy,SN*,03 39 42.33,+01 05 32.2,,,,,,SNIa,12,1
285,SN 2006jr,SN*,03 39 47.160,+00 59 31.68,,,,,,SNIa,16,1
286,SN 2007ln,SN*,03 40 43.21,+01 00 11.0,,,,,,SNIa?,6,1
287,SN 2005gp,SN*,03 41 59.352,-00 46 58.51,,22.5,,,,SNIa,27,1
288,SN 2006kx,SN*,03 42 14.6,+00 28 42,,,,,,SNIa,18,1
289,SN 2007ia,SN*,03 43 10.06,+00 06 08.9,,,,,,SNIa,9,1
290,SN 2001ep,SN*,04 57 00.26,-04 45 40.2,,,17.1,,,SNIa,68,1
291,SN 1992bh,SN*,04 59 27.55,-58 49 44.2,,17.68,17.55,,,SNIa,62,1
292,SN 2005el,SN*,05 11 48.76,+05 11 39.0,,,18.7,,,SNIa,96,1
293,SN 2006N,SN*,06 08 31.24,+64 43 25.1,,,15.0,,,SNIa,50,1
294,SN 1996bv,SN*,06 16 13.0,+57 03 10,,15.38,,,,SNIa,51,1
295,SN 1999ao,SN*,06 27 26.37,-35 50 24.2,,,18.2,,,SNIa,16,1
296,SN 2002kf,SN*,06 37 15.31,+49 51 10.2,,,15.9,,,SNIa,24,1
297,SN 2004S,SN*,06 45 43.50,-31 13 52.5,,14.14,14.39,,,SNIa,70,1
298,SN 1997E,SN*,06 47 38.10,+74 29 51.0,,15.59,,,,SNIa,51,1
299,SN 2005na,SN*,07 01 36.62,+14 07 59.7,,,16.1,,,SNIa,67,1
